id	reason	notes	action
earthfall	endless		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
pacify	endless_misclassified	Sessional paranormal mission loop, no overarching story ending	VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
solo-leveling-arise-overdrive	endless_misclassified	Netmarble gacha-derived; negative reviews cite endless grind, gacha mechanics, no clear story end	VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
soulmask	endless_misclassified	Open World Survival Craft + PvP, no defined ending (similar to ARK)	VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
ghost-recon-breakpoint	live_service_borderline		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
tales-of-berseria	no_coop	cats lack explicit Co-op category — only Multi-player/Shared Screen	VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
avatar-frontiers-of-pandora	no_coop	single-player only, no co-op category	VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
ys-ix-monstrum-nox	no_coop	Single-player JRPG; Steam shared-screen tags do not reflect real co-op gameplay	VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
alien-breed-impact	unclear_coop		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
fear-3	online_broken		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
cry-of-fear	online_broken		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
shadow-puppeteer	not_enough_reviews	only 222 reviews — below threshold; old 2014 game	VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
joe-n-jo	not_enough_reviews	0 Steam reviews	VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
endless-dungeon	unclear_ending	roguelite without clear narrative ending — finite runs but infinite play	VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
sun-haven	unclear_ending	open-ended farming sim without confirmed story finale	VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
toxic-commando	unclear_ending	"relentless waves" language suggests wave-based, no narrative endpoint	VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
painkiller-2025	unclear_ending		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
wizard-with-a-gun	unclear_ending		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
drake-hollow	unclear_ending		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
voidtrain	unclear_ending		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
void-crew	unclear_ending		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
catastronauts	unclear_ending		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
orcs-must-die-deathtrap	unclear_ending		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
tetris-effect-connected	unclear_ending		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
killsquad	unclear_ending		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
necromunda-underhive-wars	unclear_ending		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
trailmakers	unclear_ending		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
scrapnaut	unclear_ending	Early Access steampunk factory-survival, no announced finite endgame	VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
pratfall	unclear_ending	roguelike procedural cave descent, no confirmed finite win	VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
rotwood	unclear_ending	co-op biome-grind roguelite brawler (Klei); no clear finite ending	VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
bloody-trapland	unclear_ending	100+ levels but Steam page emphasises level editor / three modes; no explicit ending or final boss mentioned	VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
luma-island	unclear_ending	farming sim 84pct positive 12k reviews but reviews show open-ended grind and only 1 finished hit; risk of endless	VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
van-helsing-final-cut	ambiguous		VERIFY: in catalog but skipped as not-a-fit; decide keep-or-remove
